date,EastMidlands,EastofEngland,London,NorthEast,NorthWest,SouthEast,SouthWest,WestMidlands,YorkshireandHumber
2020/1/1,0,0,0,0,0,0,0,0,0
2020/1/2,0,0,0,0,0,0,0,0,0
2020/1/3,0,0,0,0,0,0,0,0,0
2020/1/4,0,0,0,0,0,0,0,0,0
2020/1/5,0,0,0,0,0,0,0,0,0
2020/1/6,0,0,0,0,0,0,0,0,0
2020/1/7,0,0,0,0,0,0,0,0,0
2020/1/8,0,0,0,0,0,0,0,0,0
2020/1/9,0,0,0,0,0,0,0,0,0
2020/1/10,0,0,0,0,0,0,0,0,0
2020/1/11,0,0,0,0,0,0,0,0,0
2020/1/12,0,0,0,0,0,0,0,0,0
2020/1/13,0,0,0,0,0,0,0,0,0
2020/1/14,0,0,0,0,0,0,0,0,0
2020/1/15,0,0,0,0,0,0,0,0,0
2020/1/16,0,0,0,0,0,0,0,0,0
2020/1/17,0,0,0,0,0,0,0,0,0
2020/1/18,0,0,0,0,0,0,0,0,0
2020/1/19,0,0,0,0,0,0,0,0,0
2020/1/20,0,0,0,0,0,0,0,0,0
2020/1/21,0,0,0,0,0,0,0,0,0
2020/1/22,0,0,0,0,0,0,0,0,0
2020/1/23,0,0,0,0,0,0,0,0,0
2020/1/24,0,0,0,0,0,0,0,0,0
2020/1/25,0,0,0,0,0,0,0,0,0
2020/1/26,0,0,0,0,0,0,0,0,0
2020/1/27,0,0,0,0,0,0,0,0,0
2020/1/28,0,0,0,0,0,0,0,0,0
2020/1/29,0,0,0,0,0,0,0,0,0
2020/1/30,0,0,0,0,0,0,0,0,0
2020/1/31,0,0,0,0,0,0,0,0,0
2020/2/1,0,0,0,0,0,0,0,0,0
2020/2/2,0,0,0,0,0,0,0,0,0
2020/2/3,0,0,0,0,0,0,0,0,0
2020/2/4,0,0,0,0,0,0,0,0,0
2020/2/5,0,0,0,0,0,0,0,0,0
2020/2/6,0,0,0,0,0,0,0,0,0
2020/2/7,0,0,0,0,0,0,0,0,0
2020/2/8,0,0,0,0,4.3,2.2,0,0,6.7
2020/2/9,0,0,0,0,0,2.5,0,0,6.7
2020/2/10,0,0,0,0,0,2.5,0,0,0
2020/2/11,0,0,1.4,0,0,1.9,0,0,0
2020/2/12,0,0,1.5,0,0,1,0,0,0
2020/2/13,0,0,1.5,0,0,0.7,0,0,0
2020/2/14,0,0,1.2,0,0,0.5,0,0,0
2020/2/15,0,0,1.2,0,0,0.2,0,0,0
2020/2/16,0,0,1.2,0,0,0,0,0,0
2020/2/17,0,0,1.1,0,0,0,0,0,0
2020/2/18,0,0,0.5,0,0,0,0,0,0
2020/2/19,0,0,0.5,0,0,0,0,0,0
2020/2/20,0,0,0.3,0,0,0,0,0,0
2020/2/21,1.9,0,0.3,0,0,0,0,0,0
2020/2/22,2,0,0.3,0,0,0,0,0,0
2020/2/23,2,0,0.3,0,0,0.5,0,2.2,0
2020/2/24,1.9,0,0.4,0,0,0.4,0,1.7,0
2020/2/25,3.9,0,1.1,0,0,1.1,0,1.1,0
2020/2/26,3.3,0,1.7,0,0,0.9,0,0.7,0
2020/2/27,3.7,0.4,1.8,0,0,1.5,0.2,0.6,0.4
2020/2/28,2.1,0.4,1.7,0,0.4,2.2,0.1,0.5,0.8
2020/2/29,1.5,0.6,1.5,0,0.3,1.7,0.4,0.5,0.7
2020/3/1,1.3,0.5,1.3,0,1.1,1.5,0.4,0.9,1.1
2020/3/2,1.7,0.5,1.8,0,1.7,1.5,1.2,2.2,1.7
2020/3/3,4,0.7,1.7,0.3,2.5,2.1,1.9,2.3,2.2
2020/3/4,3.9,1.2,2.4,0.7,2.7,2.9,2.4,2.4,2.5
2020/3/5,4.1,2,2.9,0.7,3.9,2.9,3.3,3.9,3.1
2020/3/6,5.7,2.6,3.5,1.6,4.2,4.3,4.6,4,4
2020/3/7,6.9,3.1,4,2.1,5.5,5.2,5.3,4.8,4.4
