week,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and Humber
27,2.618379411,0.901628314,0.622804216,0.494163756,1.91698481,0.635967749,0.357007216,1.214591568,2.69179004
28,1.931355171,0.921997851,0.632535623,0.46937694,1.660340451,0.551491835,0.295597306,1.152201586,1.983823801
29,1.33968873,0.80794518,0.734335702,0.637696404,1.514268013,0.558350379,0.255440635,1.367997337,1.733855266
30,1.521659099,0.842443306,0.861852715,0.645057249,2.291371994,0.576923077,0.46414363,1.985654658,2.112524251
31,1.487908212,0.661620706,0.92014156,0.622245268,2.029349551,0.467312407,0.545881703,1.472299656,1.9949424
32,1.367622494,0.695537831,0.991715174,0.667475728,1.897505004,0.416397932,0.530888031,1.496723954,1.825951159
33,1.198520974,0.674327733,1.305406313,0.829636653,2.033944246,0.55103904,0.605853588,1.683175423,2.00968523
34,1.033048476,0.75978794,1.467544247,0.908687943,1.778388558,0.736615866,0.748233783,1.427382705,1.601273809
35,1.025143838,1.006574981,1.660825842,1.457489879,2.211123139,0.808189655,0.681238034,1.518723007,1.842602919
36,1.77767438,1.190995662,2.54355486,2.754116274,3.245501833,1.17214206,1.089151066,2.827110795,2.985424833
37,1.851579055,1.04084839,2.517695769,2.564003103,3.879253471,0.815057491,0.641191557,2.489298249,3.290268051
38,2.0010005,1.155515067,2.604541678,4.629419413,5.512189343,0.823971976,0.787513978,2.974188965,3.877087357
39,2.820411392,1.655696384,3.751217059,7.403516013,7.953648448,1.368939462,1.283736212,4.037267081,5.488284321
40,7.125779382,3.139601869,5.738452234,10.03598811,11.69102062,2.680564818,2.785090311,5.25641643,10.00574943
41,9.479922981,3.967155016,6.974948311,11.37668932,13.32101381,3.499783519,4.086717696,6.556385628,11.41413086
42,9.414382483,4.406045861,8.168649349,11.75830613,14.14967015,3.973699257,4.736039002,8.278468666,12.85177794
43,11.38860328,5.521130365,9.949188904,12.5318786,14.86300742,5.402463976,6.21445197,10.26408253,14.7740994
44,12.07716503,5.883508925,10.23318501,12.42213559,14.73140854,6.180287154,6.60376347,11.85580648,16.66405611
