Date,daily_death_EastMidlands,sero,sero_lower,sero_upper
2020/1/1,0,,,
2020/1/2,0,,,
2020/1/3,0,,,
2020/1/4,0,,,
2020/1/5,0,,,
2020/1/6,0,,,
2020/1/7,0,,,
2020/1/8,0,,,
2020/1/9,0,,,
2020/1/10,0,,,
2020/1/11,0,,,
2020/1/12,0,,,
2020/1/13,0,,,
2020/1/14,0,,,
2020/1/15,0,,,
2020/1/16,0,,,
2020/1/17,0,,,
2020/1/18,0,,,
2020/1/19,0,,,
2020/1/20,0,,,
2020/1/21,0,,,
2020/1/22,0,,,
2020/1/23,0,,,
2020/1/24,0,,,
2020/1/25,0,,,
2020/1/26,0,,,
2020/1/27,0,,,
2020/1/28,0,,,
2020/1/29,0,,,
2020/1/30,0,,,
2020/1/31,0,,,
2020/2/1,0,,,
2020/2/2,0,,,
2020/2/3,0,,,
2020/2/4,0,,,
2020/2/5,0,,,
2020/2/6,0,,,
2020/2/7,0,,,
2020/2/8,0,,,
2020/2/9,0,,,
2020/2/10,0,,,
2020/2/11,0,,,
2020/2/12,0,,,
2020/2/13,0,,,
2020/2/14,0,,,
2020/2/15,0,,,
2020/2/16,0,,,
2020/2/17,0,,,
2020/2/18,0,,,
2020/2/19,0,,,
2020/2/20,0,,,
2020/2/21,0,,,
2020/2/22,0,,,
2020/2/23,0,,,
2020/2/24,0,,,
2020/2/25,0,,,
2020/2/26,0,,,
2020/2/27,0,,,
2020/2/28,0,,,
2020/2/29,0,,,
2020/3/1,0,,,
2020/3/2,0,,,
2020/3/3,1,,,
2020/3/4,0,,,
2020/3/5,0,,,
2020/3/6,0,,,
2020/3/7,0,,,
2020/3/8,0,,,
2020/3/9,0,,,
2020/3/10,0,,,
2020/3/11,0,,,
2020/3/12,1,,,
2020/3/13,1,,,
2020/3/14,1,,,
2020/3/15,0,,,
2020/3/16,4,,,
2020/3/17,0,,,
2020/3/18,3,,,
2020/3/19,1,,,
2020/3/20,4,,,
2020/3/21,2,,,
2020/3/22,14,,,
2020/3/23,11,,,
2020/3/24,14,,,
2020/3/25,12,,,
2020/3/26,18,,,
2020/3/27,21,,,
2020/3/28,23,,,
2020/3/29,26,,,
2020/3/30,25,,,
2020/3/31,36,,,
2020/4/1,44,,,
2020/4/2,44,,,
2020/4/3,53,,,
2020/4/4,52,,,
2020/4/5,61,0.021,0.012,0.04
2020/4/6,67,,,
2020/4/7,48,,,
2020/4/8,66,,,
