date,Certificate Death,28days Positive Death
2020/1/30,1,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,1,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,1,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,0,0
2020/3/2,1,1
2020/3/3,0,2
2020/3/4,1,0
2020/3/5,2,3
2020/3/6,2,0
2020/3/7,0,0
2020/3/8,2,3
2020/3/9,5,5
2020/3/10,3,3
2020/3/11,7,8
2020/3/12,11,12
2020/3/13,16,16
2020/3/14,19,20
2020/3/15,28,32
2020/3/16,44,43
2020/3/17,54,50
2020/3/18,66,67
2020/3/19,71,67
2020/3/20,109,102
2020/3/21,125,116
2020/3/22,173,153
2020/3/23,188,173
2020/3/24,236,219
2020/3/25,299,278
2020/3/26,370,337
2020/3/27,416,374
2020/3/28,449,384
2020/3/29,531,464
2020/3/30,630,541
2020/3/31,741,602
2020/4/1,825,698
2020/4/2,892,733
2020/4/3,927,743
2020/4/4,1023,839
2020/4/5,1062,829
2020/4/6,1024,806
2020/4/7,1143,910
2020/4/8,1286,975
2020/4/9,1176,873
2020/4/10,1163,850
2020/4/11,1201,862
2020/4/12,1208,858
2020/4/13,1076,805
2020/4/14,1080,769
2020/4/15,1100,782
2020/4/16,1147,755
2020/4/17,1107,742
2020/4/18,1030,706
2020/4/19,967,686
2020/4/20,991,685
2020/4/21,916,650
2020/4/22,939,643
2020/4/23,893,594
2020/4/24,874,603
2020/4/25,771,555
2020/4/26,762,560
2020/4/27,723,506
2020/4/28,701,499
2020/4/29,699,494
2020/4/30,660,484
2020/5/1,661,479
2020/5/2,590,424
2020/5/3,556,388
2020/5/4,561,412
2020/5/5,537,392
2020/5/6,522,390
2020/5/7,535,399
2020/5/8,482,330
2020/5/9,463,330
2020/5/10,422,300
2020/5/11,355,260
2020/5/12,380,275
2020/5/13,374,256
2020/5/14,373,277
2020/5/15,358,269
2020/5/16,351,268
2020/5/17,316,223
2020/5/18,344,253
2020/5/19,316,231
2020/5/20,303,234
2020/5/21,286,201
2020/5/22,256,195
2020/5/23,255,200
2020/5/24,234,169
2020/5/25,239,176
2020/5/26,259,188
2020/5/27,233,170
2020/5/28,239,182
2020/5/29,216,163
2020/5/30,188,145
2020/5/31,175,112
2020/6/1,179,122
2020/6/2,203,155
2020/6/3,179,138
2020/6/4,163,121
2020/6/5,160,109
2020/6/6,128,98
2020/6/7,137,113
2020/6/8,142,112
2020/6/9,127,85
2020/6/10,142,97
2020/6/11,107,71
2020/6/12,122,73
2020/6/13,85,52
2020/6/14,119,76
2020/6/15,92,61
2020/6/16,103,69
2020/6/17,91,54
2020/6/18,79,57
2020/6/19,76,47
2020/6/20,76,54
2020/6/21,67,47
2020/6/22,74,58
2020/6/23,89,61
2020/6/24,93,67
2020/6/25,97,58
2020/6/26,70,37
2020/6/27,61,39
2020/6/28,62,42
2020/6/29,63,34
2020/6/30,71,43
2020/7/1,44,22
2020/7/2,55,40
2020/7/3,45,26
2020/7/4,46,31
2020/7/5,44,24
2020/7/6,48,33
2020/7/7,41,26
2020/7/8,43,23
2020/7/9,55,35
2020/7/10,42,21
2020/7/11,33,20
2020/7/12,29,12
2020/7/13,42,22
2020/7/14,38,20
2020/7/15,39,20
2020/7/16,17,12
2020/7/17,31,18
2020/7/18,28,14
2020/7/19,22,14
2020/7/20,29,12
2020/7/21,30,19
2020/7/22,34,16
2020/7/23,33,16
2020/7/24,17,6
2020/7/25,20,13
2020/7/26,28,14
2020/7/27,16,10
2020/7/28,19,10
2020/7/29,21,8
2020/7/30,14,8
2020/7/31,26,10
2020/8/1,16,9
2020/8/2,15,8
2020/8/3,19,14
2020/8/4,20,10
2020/8/5,7,3
2020/8/6,17,9
2020/8/7,19,7
2020/8/8,18,11
2020/8/9,18,8
2020/8/10,23,11
2020/8/11,20,10
2020/8/12,20,6
2020/8/13,18,7
2020/8/14,15,6
2020/8/15,21,11
2020/8/16,12,4
2020/8/17,19,12
2020/8/18,11,7
2020/8/19,10,2
2020/8/20,16,8
2020/8/21,9,7
2020/8/22,11,6
2020/8/23,16,13
2020/8/24,8,5
2020/8/25,19,11
2020/8/26,15,11
2020/8/27,11,8
2020/8/28,11,8
2020/8/29,8,5
2020/8/30,8,6
2020/8/31,16,7
2020/9/1,9,2
2020/9/2,13,8
2020/9/3,6,6
2020/9/4,14,6
2020/9/5,12,12
2020/9/6,13,8
2020/9/7,20,13
2020/9/8,15,9
2020/9/9,10,9
2020/9/10,15,12
2020/9/11,15,10
2020/9/12,21,18
2020/9/13,19,14
2020/9/14,17,17
2020/9/15,22,15
2020/9/16,25,22
2020/9/17,33,24
2020/9/18,25,21
2020/9/19,22,18
2020/9/20,34,27
2020/9/21,26,24
2020/9/22,32,34
2020/9/23,52,52
2020/9/24,33,33
2020/9/25,35,29
2020/9/26,43,35
2020/9/27,49,42
2020/9/28,47,47
2020/9/29,42,43
2020/9/30,53,48
2020/10/1,56,56
2020/10/2,67,63
2020/10/3,56,55
2020/10/4,55,54
2020/10/5,54,59
2020/10/6,69,62
2020/10/7,88,81
2020/10/8,79,76
2020/10/9,82,67
2020/10/10,87,90
2020/10/11,105,103
2020/10/12,93,96
2020/10/13,94,87
2020/10/14,104,101
2020/10/15,124,124
2020/10/16,125,123
2020/10/17,165,160
2020/10/18,123,120
2020/10/19,155,159
2020/10/20,177,171
2020/10/21,196,191
2020/10/22,185,187
2020/10/23,183,188
2020/10/24,174,171
2020/10/25,207,206
2020/10/26,218,221
2020/10/27,226,218
2020/10/28,228,238
2020/10/29,251,249
2020/10/30,282,281
2020/10/31,277,276
2020/11/1,283,286
2020/11/2,278,284
2020/11/3,303,291
2020/11/4,283,278
2020/11/5,300,301
2020/11/6,339,333
2020/11/7,348,333
2020/11/8,346,341
2020/11/9,400,401
2020/11/10,328,319
2020/11/11,316,312
2020/11/12,357,351
2020/11/13,350,357
2020/11/14,366,358
2020/11/15,373,382
2020/11/16,361,358
2020/11/17,376,364
2020/11/18,442,435
2020/11/19,405,397
2020/11/20,404,388
2020/11/21,413,398
2020/11/22,420,406
2020/11/23,427,400
2020/11/24,423,406
2020/11/25,436,425
2020/11/26,378,372
2020/11/27,384,362
2020/11/28,388,383
2020/11/29,423,402
2020/11/30,384,362
2020/12/1,357,346
2020/12/2,346,336
2020/12/3,410,405
2020/12/4,420,411
2020/12/5,345,344
2020/12/6,362,355
2020/12/7,378,354
2020/12/8,394,375
2020/12/9,380,373
2020/12/10,407,380
2020/12/11,424,397
2020/12/12,410,374
2020/12/13,409,365
2020/12/14,421,412
2020/12/15,408,388
2020/12/16,385,355
