Date,daily_death_WestMidlands
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,0
2020/1/12,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,0
2020/2/15,0
2020/2/16,0
2020/2/17,0
2020/2/18,0
2020/2/19,0
2020/2/20,0
2020/2/21,0
2020/2/22,0
2020/2/23,0
2020/2/24,0
2020/2/25,0
2020/2/26,0
2020/2/27,0
2020/2/28,0
2020/2/29,0
2020/3/1,0
2020/3/2,0
2020/3/3,0
2020/3/4,0
2020/3/5,0
2020/3/6,0
2020/3/7,0
2020/3/8,1
2020/3/9,0
2020/3/10,1
2020/3/11,1
2020/3/12,4
2020/3/13,3
2020/3/14,3
2020/3/15,4
2020/3/16,9
2020/3/17,9
2020/3/18,9
2020/3/19,11
2020/3/20,19
2020/3/21,15
2020/3/22,20
2020/3/23,27
2020/3/24,25
2020/3/25,39
2020/3/26,51
2020/3/27,54
2020/3/28,71
2020/3/29,71
2020/3/30,75
2020/3/31,92
2020/4/1,108
2020/4/2,119
2020/4/3,86
2020/4/4,108
2020/4/5,117
2020/4/6,101
2020/4/7,100
2020/4/8,135
2020/4/9,97
2020/4/10,104
2020/4/11,110
2020/4/12,106
2020/4/13,96
2020/4/14,82
2020/4/15,108
2020/4/16,89
2020/4/17,98
2020/4/18,96
2020/4/19,78
2020/4/20,76
2020/4/21,79
2020/4/22,67
2020/4/23,83
2020/4/24,67
2020/4/25,73
2020/4/26,79
2020/4/27,65
2020/4/28,50
2020/4/29,58
2020/4/30,56
2020/5/1,66
2020/5/2,47
2020/5/3,46
2020/5/4,47
2020/5/5,48
2020/5/6,46
2020/5/7,43
2020/5/8,36
2020/5/9,36
2020/5/10,35
2020/5/11,25
2020/5/12,31
2020/5/13,37
2020/5/14,31
