date,daily_case,daily_death,hospitalization
2020/1/1,,0,
2020/1/2,,0,
2020/1/3,,0,
2020/1/4,,0,
2020/1/5,,0,
2020/1/6,,0,
2020/1/7,,0,
2020/1/8,,0,
2020/1/9,,0,
2020/1/10,,0,
2020/1/11,,0,
2020/1/12,,0,
2020/1/13,,0,
2020/1/14,,0,
2020/1/15,,0,
2020/1/16,,0,
2020/1/17,,0,
2020/1/18,,0,
2020/1/19,,0,
2020/1/20,,0,
2020/1/21,,0,
2020/1/22,,0,
2020/1/23,,0,
2020/1/24,,0,
2020/1/25,,0,
2020/1/26,,0,
2020/1/27,,0,
2020/1/28,,0,
2020/1/29,,0,
2020/1/30,2,0,
2020/1/31,0,0,
2020/2/1,0,0,
2020/2/2,0,0,
2020/2/3,0,0,
2020/2/4,0,0,
2020/2/5,1,0,
2020/2/6,0,0,
2020/2/7,0,0,
2020/2/8,4,0,
2020/2/9,1,0,
2020/2/10,0,0,
2020/2/11,1,0,
2020/2/12,0,0,
2020/2/13,0,0,
2020/2/14,0,0,
2020/2/15,0,0,
2020/2/16,0,0,
2020/2/17,0,0,
2020/2/18,0,0,
2020/2/19,0,0,
2020/2/20,0,0,
2020/2/21,1,0,
2020/2/22,0,0,
2020/2/23,1,0,
2020/2/24,2,0,
2020/2/25,5,0,
2020/2/26,4,0,
2020/2/27,7,0,
2020/2/28,11,0,
2020/2/29,5,0,
2020/3/1,20,0,
2020/3/2,38,0,
2020/3/3,54,0,
2020/3/4,49,0,
2020/3/5,46,0,
2020/3/6,73,1,
2020/3/7,55,1,
2020/3/8,50,0,
2020/3/9,125,1,
2020/3/10,227,4,
2020/3/11,353,0,
2020/3/12,414,2,
2020/3/13,393,1,
2020/3/14,315,18,
2020/3/15,396,14,
2020/3/16,545,22,
2020/3/17,680,15,
2020/3/18,907,33,
2020/3/19,928,42,
2020/3/20,1080,32,1580
2020/3/21,1036,54,2152
2020/3/22,1207,24,2670
2020/3/23,2014,67,3183
2020/3/24,2027,143,3598
2020/3/25,2258,178,4402
2020/3/26,2614,169,5226
2020/3/27,2652,271,6462
2020/3/28,2368,279,7269
2020/3/29,2440,195,8424
2020/3/30,3517,353,9852
2020/3/31,3780,368,11154
2020/4/1,4127,613,12059
2020/4/2,4071,603,12135
2020/4/3,4078,654,13635
2020/4/4,3376,689,15469
2020/4/5,3081,578,16657
2020/4/6,4381,531,17154
2020/4/7,4569,1009,17814
