date,England_positivity
2020/1/1,0
2020/1/2,0
2020/1/3,0
2020/1/4,0
2020/1/5,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/11,0
2020/1/12,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/25,0
2020/1/26,0
2020/1/27,0
2020/1/28,0
2020/1/29,0
2020/1/30,0
2020/1/31,0
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,1
2020/2/9,0.9
2020/2/10,0.6
2020/2/11,0.7
2020/2/12,0.5
2020/2/13,0.4
2020/2/14,0.3
2020/2/15,0.2
2020/2/16,0.2
2020/2/17,0.2
2020/2/18,0.1
2020/2/19,0.1
2020/2/20,0
2020/2/21,0.1
2020/2/22,0.1
2020/2/23,0.2
2020/2/24,0.2
2020/2/25,0.4
2020/2/26,0.4
2020/2/27,0.5
2020/2/28,0.6
2020/2/29,0.6
2020/3/1,0.7
2020/3/2,1
2020/3/3,1.4
2020/3/4,1.8
2020/3/5,2.4
2020/3/6,3.1
2020/3/7,3.6
2020/3/8,4
2020/3/9,5
2020/3/10,6.2
2020/3/11,7.3
2020/3/12,8.3
2020/3/13,9
2020/3/14,9.3
2020/3/15,9.8
2020/3/16,10.3
2020/3/17,11.3
2020/3/18,12.8
2020/3/19,13.8
2020/3/20,15.4
2020/3/21,16.7
2020/3/22,18
2020/3/23,20.5
2020/3/24,22.6
2020/3/25,24.9
2020/3/26,27.7
2020/3/27,29.9
2020/3/28,32.1
2020/3/29,33.7
2020/3/30,35.7
2020/3/31,37.4
2020/4/1,38.6
2020/4/2,39.4
2020/4/3,39.9
2020/4/4,40.2
2020/4/5,40.3
2020/4/6,40.4
2020/4/7,40.7
2020/4/8,40.3
2020/4/9,39.4
2020/4/10,38.9
2020/4/11,38
2020/4/12,37.1
2020/4/13,36.1
2020/4/14,34.7
2020/4/15,33.2
2020/4/16,31.9
2020/4/17,30.6
2020/4/18,29.7
2020/4/19,29.1
2020/4/20,28.1
2020/4/21,27.1
2020/4/22,25.8
2020/4/23,24.3
2020/4/24,22.4
2020/4/25,20.3
2020/4/26,18.3
2020/4/27,16.6
2020/4/28,14.6
